sampleID	genepop_pop	pop	.sample.id	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9
23-12122,	23-12101,	Maumee_Bay	95	-0.01994405529461494	0.10632740260748416	0.05906022914973413	-0.024441565923871506	0.03710299725886041	-0.07543002726757402	0.0855764754788001	0.014604412624209667	0.10030299129726325
23-12123,	23-12101,	Maumee_Bay	96	-0.05075201608007244	0.09401837964086189	0.0967869682487064	-0.05602148827535717	0.05997153608365726	0.07872691486359978	-0.031927004131852794	0.023885359139866925	0.0723055620870569
23-12124,	23-12101,	Maumee_Bay	97	0.05953389916427352	0.005135818984980467	-0.0541254137820184	-0.12449320238390335	-0.07649484452235199	0.0677999802908752	0.043626201201991587	-0.05440875000461698	0.03444218171962948
23-12125,	23-12101,	Maumee_Bay	98	-0.03114043500961222	0.0965055971729959	-0.013293323583347772	-0.003860791899832791	-0.08257829163582239	-1.3056428464913847e-4	0.05350256658066059	0.044049356425632	-0.07333065570676141
23-12126,	23-12101,	Maumee_Bay	99	0.06395539224588641	0.11757635684495389	0.08530142859034623	0.05730626456818578	-0.049723127100338924	-0.027484868814823427	0.03365670010989544	0.03221839431684546	-0.032919241069484934
23-12127,	23-12101,	Maumee_Bay	100	0.06246531855905392	0.09024104085048744	0.06082817374752516	-0.06942806895327878	0.007674990082586005	-0.027342129395998428	0.0012876958894198817	0.08319056038579789	-0.020320527289378023
23-12128,	23-12101,	Maumee_Bay	101	-0.024705356906558472	-0.07717138162428551	0.026990322771520036	-0.11398627371589977	0.010075100278098985	-0.03841901421403006	0.08567797060258005	-0.082818376399675	0.014837304961828134
23-12129,	23-12101,	Maumee_Bay	102	0.020294568328580977	-0.0031420541095198372	0.022411152773376793	0.02693612595200338	0.021659149274994405	0.010802297291486622	-0.038085480324309334	-0.005848228142521405	0.03699953454399197
23-12130,	23-12101,	Maumee_Bay	103	0.011767643081511753	-0.0328806973451131	-0.021045845929573623	-0.03552714296794874	0.047744152827821976	0.012209457858563014	-0.12766515951739818	-0.00483215443063173	0.011597486142669543
23-12131,	23-12101,	Maumee_Bay	104	-0.01245271527572049	0.0718196074724503	0.013625402444924422	0.01785308701344219	0.06974047527522574	-0.006000845137320194	-0.07612873637803738	0.027756873293055775	0.001412104360705553
23-12132,	23-12101,	Maumee_Bay	105	-0.028025440526405723	-0.04609210968583506	-0.039556268012955094	0.0056466536994958915	-0.04552052996995811	-0.11985248057411695	-0.09328312936680905	-0.022620570044110062	0.02360341581345136
23-12133,	23-12101,	Maumee_Bay	106	0.014344704342264814	-0.07148818498688349	-0.03338559340774877	0.015134615786323307	-0.025601087408813224	-0.012644443925149943	-0.051389203655533636	0.0045452606405116	-0.03337055412108422
23-12134,	23-12101,	Maumee_Bay	107	0.05047957166163321	-0.020623140460900663	-0.06031162974444551	0.022241397166064006	-0.009645258141806617	-0.0068424185334167885	0.00224597570521646	0.042218801097273044	0.023498457406646845
23-12135,	23-12101,	Maumee_Bay	108	-0.003998606381486793	-0.01115235946176394	-0.08142573137861298	0.024851128882613656	-0.04948843100604606	-0.05480064561224235	-0.050763844051842574	0.0617745905593652	0.021290751525789395
23-12136,	23-12101,	Maumee_Bay	109	0.017202572315112193	-0.006189978125138641	-0.005134851416356394	0.012765519880324906	0.10757166188460522	-0.00952943114295719	0.10572240700524536	0.07168880029598995	0.10392955710301952
23-12137,	23-12101,	Maumee_Bay	110	-0.01140051328091862	-0.035815650248664656	0.028601353674792915	-0.014777893942035705	0.12588567813591225	-0.0170607298723987	0.007587500209191863	0.08072137244783836	-0.020214963380997535
23-12138,	23-12101,	Maumee_Bay	111	0.06485132396679576	0.05449448110113206	-0.10476212608899085	0.03928177671552066	0.08582861432072651	-0.005031316462272772	-0.03547508030413519	0.03725556792980835	0.020946512902390375
23-12139,	23-12101,	Maumee_Bay	112	-0.1050315955953395	-0.09690435755976143	-0.08655294673270102	-0.025487513880057894	0.01698937316025553	-0.03819294669013654	-0.0013896989232684	-0.004343728041679651	0.05400618538901785
23-12140,	23-12101,	Maumee_Bay	113	0.007953431697127207	0.0036315015681773833	-0.09771244744600417	-0.013541814406680312	-0.01553082508514464	-0.04107025615303774	0.08639831616052862	0.11945324854699117	-0.030956282294278804
23-12141,	23-12101,	Maumee_Bay	114	-0.10287853748997648	0.03820579304592918	-0.06727490697224935	0.022713496618548108	0.08316636058300374	0.053862996301709425	0.05598928140931451	0.04730464614896457	-0.021959762979604863
23-12142,	23-12101,	Maumee_Bay	115	0.05812522129111328	0.04286448054817139	0.16561805673071606	-0.04189159435380481	0.03678225706116947	0.06002835456681486	-0.04299324667287106	-0.017794899127146196	0.06192791517907647
23-12143,	23-12101,	Maumee_Bay	116	-0.026954176276109718	-0.0176501408451252	-0.03284078047258352	-0.0015862200375690136	-0.0845399096029965	0.044950282195566085	0.016165427603219342	0.09477077858935799	0.1914456162368001
23-12144,	23-12101,	Maumee_Bay	117	-0.031638856282495256	0.004052251073551887	0.03935235790703071	-0.042400621051713445	-0.05359584802437283	0.05429885843544549	0.003947574197952357	0.10479773277028079	0.011435133299768037
23-12145,	23-12101,	Maumee_Bay	118	0.04728906283456411	0.08662749771997552	-0.04075982981677629	-0.004425212415425228	0.06253748145604945	0.014923398320643821	-0.043122435358162854	0.007970016603291288	0.08800606135410072
23-12146,	23-12101,	Maumee_Bay	119	-0.025497210066758633	0.05006250258544103	-0.059758440729132244	-0.002230083817503982	0.055819108502005235	0.021779656961626467	-0.12242242817028225	0.02753008666064003	0.0031446399799780166
24-12061,	23-12101,	Maumee_Bay	120	-0.11080035133148063	-0.0441004177553358	0.09618556288157087	-0.05844908267138583	-0.012417873637219306	0.03575839488726962	0.16284087459704544	-0.0238307274847091	0.0771995838376043
24-12062,	23-12101,	Maumee_Bay	121	-0.011153003854424167	0.09010146544346724	-0.011048656972514947	-0.12575698940401206	-0.16989813861607006	-0.057360474382449886	-0.020768794740976232	0.0636842998096754	-0.05723076755173618
24-12063,	23-12101,	Maumee_Bay	122	-0.012834770158504176	0.07049944860525237	-0.018539553895693922	0.06359468551963819	0.05422373152887939	0.10957985845482801	-0.039826199525039366	-0.0994287586132835	0.02737632937184952
24-12064,	23-12101,	Maumee_Bay	123	-0.010112714248148278	-0.0802089259579503	0.16669754085027097	0.0012377270676583584	0.04848603827635016	-0.0053386012241099364	-0.05175473234678258	0.025830043029663997	-0.09880664759744998
24-12065,	23-12101,	Maumee_Bay	124	-0.02047428920474715	0.015445250832893989	-0.04380424424167845	0.0326344883184427	-0.09787134062921328	-0.02864211441094575	-0.03947886937574435	-0.02606980761539891	0.054072280967403824
24-12066,	23-12101,	Maumee_Bay	125	-0.02626401860581422	-0.03691830691703783	-0.057010754057242055	0.06461348280463494	1.4043461531504527e-4	0.08800932651511768	-0.06583741303882308	0.08365038540827012	-7.621715453525538e-4
24-12067,	23-12101,	Maumee_Bay	126	-0.007470150297232539	-0.003867254744937727	0.016907348355781577	0.06199715905721857	-0.06514429837849205	0.02308742845907721	0.007555850407292916	-0.03640613215303979	-0.016447260332124986
